CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,WORKSITE_STATE,SWA_NAME,AGENT_ATTORNEY_CITY,WORKSITE_CITY,AGENT_ATTORNEY_STATE,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
0,0,39,81,1,1,one-time occurrence,40.0,15.0,0.0,high school/ged ,0.0,0.0,new york,0,no attorney representation,brooklyn,no attorney representation,no_rep,no_rep,8.0,1.0,1
1,0,47,23,12,1,seasonal,40.0,14.38,0.0,none,0.0,0.0,florida,1,no attorney representation,labelle,no attorney representation,no_rep,no_rep,9.0,1.0,0
1,1,45,11,23,1,seasonal,40.0,10.25,0.0,none,0.0,0.0,georgia,0,coeur d' alene,white plains,idaho,different,different,9.0,1.0,1
1,1,45,11,130,1,peakload,40.0,12.0,0.0,none,0.0,3.0,oregon,0,coeur d' alene,central point,idaho,different,different,9.5,1.0,1
1,1,45,11,35,1,seasonal,40.0,9.83,0.0,none,0.0,0.0,texas,0,coeur d' alene,longview,idaho,different,different,9.0,1.0,1
1,1,45,42,65,1,peakload,35.0,9.43,0.0,none,0.0,3.0,florida,0,san diego,pompano beach,california,different,different,6.0,1.0,1
1,1,45,11,110,1,seasonal,40.0,10.46,0.0,none,0.0,0.0,virginia,0,lake park,south boston,georgia,different,different,9.0,1.0,1
1,1,39,71,50,1,seasonal,40.0,12.63,0.0,none,0.0,1.0,florida,0,norman,hallandale,oklahoma,different,different,12.0,1.0,1
1,1,49,56,6,1,seasonal,40.0,13.52,0.0,none,0.0,0.0,maryland,0,dallas,elkton,texas,different,different,8.0,1.0,1
1,1,45,11,40,1,seasonal,35.0,16.42,0.0,none,0.0,0.0,texas,0,lake park,silsbee,georgia,different,different,8.0,1.0,1
1,1,45,11,15,1,seasonal,40.0,17.0,0.0,none,0.0,0.0,louisiana,0,lake park,robeline,georgia,different,different,10.0,1.0,1
0,0,37,11,25,1,one-time occurrence,40.0,10.81,0.0,none,0.0,3.0,florida,0,no attorney representation,branford,no attorney representation,no_rep,no_rep,8.0,1.0,0
0,1,37,56,5,1,seasonal,40.0,12.81,0.0,none,0.0,3.0,tennessee,0,mcminnville,ooltewah,tennessee,different,same,9.0,1.0,1
0,0,47,23,65,1,peakload,40.0,14.32,0.0,none,0.0,0.0,texas,0,no attorney representation,ingleside,no attorney representation,no_rep,no_rep,10.0,1.0,1
0,0,27,71,3,1,seasonal,35.0,18.04,0.0,none,0.0,12.0,california,0,no attorney representation,mammoth lakes,no attorney representation,no_rep,no_rep,8.5,1.0,1
1,0,37,56,35,1,seasonal,35.0,10.77,0.0,none,0.0,1.0,florida,0,no attorney representation,miami beach,no attorney representation,no_rep,no_rep,7.0,1.0,1
1,1,45,11,35,1,seasonal,40.0,9.83,0.0,none,0.0,0.0,georgia,0,coeur d'alene,rome,idaho,different,different,9.0,1.0,1
0,1,15,56,1,1,seasonal,40.0,30.01,0.0,high school/ged ,0.0,5.0,new york,0,albany ny,new york,new york,different,same,8.5,1.0,0
1,1,39,71,5,1,seasonal,40.0,13.68,0.0,none,0.0,1.0,maryland,1,norman,laurel,oklahoma,different,different,12.0,1.0,1
0,0,37,56,8,1,seasonal,40.0,15.72,0.0,none,0.0,3.0,florida,0,no attorney representation,mascotte,no attorney representation,no_rep,no_rep,9.0,1.0,0
0,1,47,56,1,1,one-time occurrence,40.0,19.0,0.0,none,0.0,0.0,texas,0,austin,kyle,texas,different,same,9.0,1.0,0
0,1,51,44,10,1,peakload,40.0,10.85,0.0,none,0.0,3.0,georgia,0,norcross,gainesville,georgia,different,same,11.0,1.0,0
1,1,35,72,8,1,peakload,35.0,15.2,0.0,none,0.0,0.0,vermont,0,centerville,woodstock,massachusetts,different,different,8.0,1.0,0
1,1,35,72,6,1,peakload,35.0,12.82,0.0,none,0.0,0.0,vermont,0,centerville,woodstock,massachusetts,different,different,8.0,1.0,1
1,1,35,72,2,1,peakload,35.0,20.52,0.0,none,0.0,3.0,vermont,0,centerville,woodstock,massachusetts,different,different,15.0,0.0,1
0,1,37,56,100,1,seasonal,40.0,13.68,0.0,none,0.0,0.0,utah,0,austin,salt lake city,texas,different,different,9.0,1.0,0
0,0,47,21,115,1,peakload,40.0,22.21,0.0,high school/ged ,0.0,12.0,louisiana,1,no attorney representation,golden meadow,no attorney representation,no_rep,no_rep,9.0,1.0,0
0,0,47,21,85,1,peakload,40.0,18.13,0.0,high school/ged ,0.0,12.0,texas,1,no attorney representation,ingleside,no attorney representation,no_rep,no_rep,9.0,1.0,0
1,1,35,53,5,1,peakload,35.0,13.77,0.0,none,0.0,0.0,colorado,0,vail,vail,colorado,same,same,8.0,1.0,1
0,1,35,72,10,1,peakload,40.0,12.48,0.0,none,0.0,12.0,california,0,ft. lauderdale,roseville,florida,different,different,2.5,1.0,1
0,1,47,56,10,1,peakload,35.0,14.56,0.0,none,0.0,0.0,texas,0,lexington,austin,kentucky,different,different,8.0,1.0,1
0,1,47,56,10,1,peakload,35.0,18.18,0.0,none,0.0,0.0,california,0,lexington,rancho cordova,kentucky,different,different,8.0,1.0,1
0,0,37,56,30,1,peakload,40.0,13.17,0.0,none,0.0,2.0,louisiana,0,no attorney representation,franklin,no attorney representation,no_rep,no_rep,9.0,1.0,0
0,1,47,23,10,1,peakload,40.0,14.85,0.0,none,0.0,0.0,north carolina,0,durham,wake forest,north carolina,different,same,8.0,1.0,1
0,1,47,23,20,1,one-time occurrence,40.0,20.22,0.0,none,0.0,0.0,utah,0,salt lake city,layton,utah,different,same,9.0,1.0,0
1,1,39,71,2,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,florida,0,carlsbad,wellington,california,different,different,9.0,1.0,1
1,1,37,56,8,1,seasonal,40.0,13.94,0.0,none,0.0,0.0,texas,0,wylie,plano,texas,different,same,11.0,1.0,1
1,1,53,31,35,1,seasonal,35.0,8.33,0.0,none,0.0,1.0,louisiana,0,new roads,plaquemine,louisiana,different,same,9.0,1.0,1
1,1,37,53,2,1,seasonal,40.0,13.12,0.0,none,0.0,0.0,pennsylvania,0,lovingston,canonsburg,virginia,different,different,8.5,1.0,1
1,1,45,11,165,1,seasonal,40.0,10.25,0.0,none,0.0,0.0,south carolina,0,coeur d' alene,round o,idaho,different,different,9.0,1.0,1
1,1,37,81,9,1,peakload,35.0,15.0,0.0,none,0.0,0.0,wyoming,0,jackson,teton village,wyoming,different,same,8.5,1.0,1
0,0,49,54,15,1,intermittent,40.0,25.0,0.0,high school/ged ,1.0,60.0,texas,0,no attorney representation,the woodlands,no attorney representation,no_rep,no_rep,12.0,1.0,1
1,1,35,72,4,1,peakload,35.0,11.72,0.0,none,0.0,0.0,vermont,0,centerville,woodstock,massachusetts,different,different,8.0,1.0,1
1,1,37,72,5,1,peakload,35.0,13.03,0.0,none,0.0,3.0,vermont,0,centerville,woodstock,massachusetts,different,different,8.0,1.0,1
1,1,53,72,2,1,peakload,35.0,12.74,0.0,none,0.0,0.0,vermont,0,centerville,woodstock,massachusetts,different,different,8.0,1.0,0
1,1,49,71,40,1,seasonal,35.0,13.91,0.0,none,0.0,0.0,alabama,0,annapolis,clanton,maryland,different,different,8.5,1.0,0
1,1,39,71,30,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,florida,0,new york,boynton beach,new york,different,different,8.0,1.0,1
1,1,39,71,8,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,florida,0,new york,boynton beach,new york,different,different,8.0,1.0,1
1,1,39,71,10,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,florida,0,new york,boynton beach,new york,different,different,8.0,1.0,1
1,1,39,71,12,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,florida,0,new york,boynton beach,new york,different,different,8.0,1.0,1
1,1,53,23,30,1,peakload,40.0,16.68,0.0,none,0.0,0.0,texas,0,austin,midland,texas,different,same,9.0,1.0,1
