AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME,CASE_STATUS
0,47,21,115.0,1,peakload,40.0,22.21,0.0,high school/ged ,0.0,12.0,1,no_rep,no_rep,9.0,1.0,0,0
0,47,21,85.0,1,peakload,40.0,18.13,0.0,high school/ged ,0.0,12.0,1,no_rep,no_rep,9.0,1.0,0,0
1,35,53,5.0,1,peakload,35.0,13.77,0.0,none,0.0,0.0,0,same,same,8.0,1.0,1,1
1,35,72,10.0,1,peakload,40.0,12.48,0.0,none,0.0,12.0,0,different,different,2.5,1.0,1,0
1,47,56,10.0,1,peakload,35.0,14.56,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,0
1,47,56,10.0,1,peakload,35.0,18.18,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,0
0,37,56,30.0,1,peakload,40.0,13.17,0.0,none,0.0,2.0,0,no_rep,no_rep,9.0,1.0,0,0
1,47,23,10.0,1,peakload,40.0,14.85,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1,0
1,47,23,20.0,1,one-time occurrence,40.0,20.22,0.0,none,0.0,0.0,0,different,same,9.0,1.0,0,0
1,39,71,2.0,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,0,different,different,9.0,1.0,1,1
1,37,56,8.0,1,seasonal,40.0,13.94,0.0,none,0.0,0.0,0,different,same,11.0,1.0,1,1
1,53,31,35.0,1,seasonal,35.0,8.33,0.0,none,0.0,1.0,0,different,same,9.0,1.0,1,1
1,37,53,2.0,1,seasonal,40.0,13.12,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1,1
1,45,11,165.0,1,seasonal,40.0,10.25,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1,1
1,37,81,9.0,1,peakload,35.0,15.0,0.0,none,0.0,0.0,0,different,same,8.5,1.0,1,1
0,49,54,15.0,1,intermittent,40.0,25.0,0.0,high school/ged ,1.0,60.0,0,no_rep,no_rep,12.0,1.0,1,0
1,35,72,4.0,1,peakload,35.0,11.72,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1,1
1,37,72,5.0,1,peakload,35.0,13.03,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1,1
1,53,72,2.0,1,peakload,35.0,12.74,0.0,none,0.0,0.0,0,different,different,8.0,1.0,0,1
1,49,71,40.0,1,seasonal,35.0,13.91,0.0,none,0.0,0.0,0,different,different,8.5,1.0,0,1
1,39,71,30.0,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,0,different,different,8.0,1.0,1,1
1,39,71,8.0,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,0,different,different,8.0,1.0,1,1
1,39,71,10.0,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,0,different,different,8.0,1.0,1,1
1,39,71,12.0,1,seasonal,40.0,12.9,0.0,none,0.0,1.0,0,different,different,8.0,1.0,1,1
1,53,23,30.0,1,peakload,40.0,16.68,0.0,none,0.0,0.0,0,different,same,9.0,1.0,1,1
1,37,72,19.0,1,peakload,35.0,12.85,0.0,none,0.0,0.0,0,different,different,7.5,1.0,1,1
1,39,71,7.0,1,seasonal,40.0,13.68,0.0,none,0.0,1.0,0,different,different,12.0,1.0,1,1
1,37,56,65.0,1,seasonal,35.0,14.12,0.0,none,0.0,0.0,0,different,different,7.5,1.0,1,1
1,37,56,30.0,1,seasonal,35.0,14.86,0.0,none,0.0,0.0,0,different,different,10.5,1.0,1,1
1,51,72,1.0,1,peakload,40.0,12.44,0.0,none,0.0,12.0,0,same,same,10.0,0.0,1,0
1,47,23,10.0,1,seasonal,40.0,15.81,0.0,none,0.0,0.0,0,different,different,8.0,1.0,0,0
1,47,56,15.0,1,one-time occurrence,40.0,21.77,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1,0
0,37,54,1.0,1,one-time occurrence,35.0,10.82,0.0,high school/ged ,0.0,12.0,0,no_rep,no_rep,7.0,1.0,0,0
1,45,11,24.0,1,seasonal,40.0,15.06,0.0,none,0.0,0.0,0,different,different,8.0,1.0,0,0
1,51,56,30.0,1,peakload,40.0,12.49,0.0,none,0.0,0.0,0,different,same,9.0,1.0,0,0
1,35,71,4.0,1,peakload,35.0,15.55,0.0,none,0.0,12.0,0,different,different,7.0,0.0,1,1
0,47,23,67.0,1,peakload,40.0,17.65,0.0,none,0.0,0.0,0,no_rep,no_rep,10.0,1.0,1,0
0,37,56,38.0,1,seasonal,35.0,11.02,0.0,none,0.0,1.0,0,no_rep,no_rep,7.0,1.0,1,1
1,37,72,12.0,1,peakload,35.0,12.85,0.0,none,0.0,3.0,0,different,different,7.5,1.0,1,1
