CASE_STATUS,AGENT_POC_EMP_REP_BY_AGENT,SOC_CODE,NAICS_CODE,NBR_WORKERS_REQUESTED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,NUM_OF_MONTHS_TRAINING,EMP_EXP_NUM_MONTHS,SWA_NAME,CITY_MATCH,STATE_MATCH,WORK_DAY_LENGTH,DAYTIME_WORK,HAS_OVERTIME
1,1,37,72,12,1,peakload,35.0,14.9,0.0,none,0.0,12.0,0,different,different,8.5,1.0,1
1,1,37,72,4,1,seasonal,35.0,13.5,0.0,none,0.0,0.0,0,different,different,7.0,1.0,1
1,1,37,56,10,1,peakload,40.0,14.64,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
1,1,37,23,3,1,seasonal,40.0,15.73,0.0,none,0.0,0.0,0,different,same,8.5,1.0,1
1,1,37,56,18,1,seasonal,40.0,13.52,0.0,none,0.0,0.0,0,different,same,9.0,1.0,0
1,1,37,56,10,1,peakload,40.0,11.93,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1
1,1,37,56,25,1,seasonal,40.0,17.05,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,30,1,peakload,35.0,9.97,0.0,none,0.0,3.0,0,different,different,7.0,1.0,1
1,1,37,56,6,1,seasonal,40.0,15.26,0.0,none,0.0,2.0,0,different,same,8.0,1.0,1
1,1,45,11,2,1,seasonal,40.0,10.24,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,47,33,33,1,peakload,40.0,14.6,0.0,none,0.0,1.0,0,different,different,8.0,1.0,1
1,1,37,56,16,1,seasonal,40.0,15.39,0.0,none,0.0,3.0,0,different,same,9.0,1.0,1
1,1,37,72,40,1,peakload,35.0,11.08,0.0,none,0.0,0.0,0,different,different,8.5,1.0,1
1,1,47,23,8,1,peakload,40.0,21.78,0.0,none,0.0,3.0,0,different,same,9.0,1.0,0
1,1,53,23,2,1,seasonal,40.0,16.81,0.0,none,0.0,0.0,0,different,same,8.0,1.0,1
1,1,35,72,36,1,peakload,35.0,10.95,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1
1,1,37,56,9,1,seasonal,40.0,13.69,0.0,none,0.0,3.0,0,different,different,8.5,1.0,1
1,1,37,72,2,1,seasonal,40.0,15.24,0.0,none,0.0,3.0,0,different,same,8.0,1.0,1
1,1,37,56,15,1,peakload,40.0,12.87,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,56,45,1,peakload,35.0,14.28,0.0,none,0.0,3.0,0,different,different,9.5,1.0,1
1,1,35,71,5,1,seasonal,35.0,15.01,0.0,none,0.0,3.0,0,different,same,7.0,1.0,1
1,1,37,56,15,1,peakload,40.0,13.91,0.0,none,0.0,0.0,0,different,same,9.0,1.0,1
1,1,45,11,25,1,peakload,40.0,13.37,0.0,none,0.0,3.0,0,different,different,8.0,1.0,1
1,1,37,56,10,1,seasonal,40.0,14.32,0.0,none,0.0,0.0,0,different,same,9.0,1.0,1
1,1,37,56,23,1,peakload,40.0,15.1,0.0,none,0.0,0.0,0,different,different,10.0,1.0,1
1,1,47,23,42,1,peakload,40.0,14.47,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,47,23,40,1,peakload,40.0,14.92,0.0,none,0.0,0.0,0,different,same,9.0,1.0,0
1,1,37,56,9,1,peakload,40.0,16.36,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,23,6,1,seasonal,35.0,16.64,0.0,none,0.0,0.0,0,different,same,7.5,1.0,1
1,1,37,56,100,1,peakload,40.0,12.46,0.0,none,0.0,0.0,0,different,same,9.0,1.0,1
1,1,49,31,30,1,seasonal,40.0,12.03,0.0,none,0.0,3.0,0,different,same,9.0,1.0,1
1,1,39,71,70,1,seasonal,40.0,8.8,0.0,none,0.0,0.0,0,different,different,9.0,0.0,0
1,1,37,72,16,1,peakload,35.0,14.7,0.0,none,0.0,3.0,0,different,different,9.0,1.0,1
1,1,35,72,42,1,seasonal,35.0,11.0,0.0,none,0.0,0.0,0,different,different,8.0,1.0,1
1,1,37,56,15,1,peakload,35.0,13.69,0.0,none,0.0,3.0,0,different,different,7.5,1.0,1
1,1,37,72,2,1,seasonal,35.0,11.56,0.0,none,0.0,0.0,0,different,different,7.5,1.0,0
1,1,47,23,25,1,seasonal,40.0,15.86,0.0,none,0.0,3.0,0,different,different,11.0,1.0,1
1,1,35,72,25,1,peakload,40.0,12.38,0.0,none,0.0,0.0,0,different,different,9.0,1.0,1
1,1,37,71,10,1,peakload,35.0,13.0,0.0,none,0.0,12.0,0,different,different,9.0,1.0,1
